id,category_name,question_id
1,SCIENCE,1
2,CULTURE,1
3,ENGINEERING,1
4,SCIENCE,2
5,TECHNOLOGY,2
6,CULTURE,3
7,MUSIC,3
8,ENGINEERING,4
9,SCIENCE,4
10,CULTURE,5
11,ENGINEERING,6
12,SCIENCE,6
13,TECHNOLOGY,6
14,ENGINEERING,7
15,SCIENCE,8
16,TECHNOLOGY,8
17,ENGINEERING,8
18,TECHNOLOGY,9
19,ENGINEERING,9
20,SCIENCE,10
21,TECHNOLOGY,10
22,ENGINEERING,10
23,CULTURE,11
24,CULTURE,12
25,MUSIC,12
26,CULTURE,13
27,MUSIC,13
28,CULTURE,14
29,MUSIC,15
30,CULTURE,15
31,MUSIC,16
32,CULTURE,16
33,SCIENCE,17
34,TECHNOLOGY,17
35,CULTURE,18
36,SCIENCE,18
37,CULTURE,19
38,SCIENCE,20
39,CULTURE,20
40,CULTURE,21
41,CULTURE,22
42,ENGINEERING,23
43,ENGINEERING,23
44,MUSIC,24
45,SCIENCE,25
46,TECHNOLOGY,25
47,ENGINEERING,25
