id,score,category,question_id,user_id,created_at,updated_at
1,1.67,SCIENCE,1,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
2,1.67,CULTURE,1,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
3,1.67,ENGINEERING,1,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
4,2.50,SCIENCE,2,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
5,2.50,TECHNOLOGY,2,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
6,2.50,CULTURE,3,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
7,2.50,ENGINEERING,4,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
8,2.50,SCIENCE,4,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
9,5.00,CULTURE,5,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
10,2.50,MUSIC,3,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
11,1.67,ENGINEERING,6,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
12,1.67,SCIENCE,6,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
13,1.67,TECHNOLOGY,6,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
14,5.00,ENGINEERING,7,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
15,1.67,SCIENCE,8,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
16,1.67,TECHNOLOGY,8,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
17,1.67,ENGINEERING,8,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
18,2.50,TECHNOLOGY,9,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
19,2.50,ENGINEERING,9,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
20,1.67,SCIENCE,10,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
21,1.67,TECHNOLOGY,10,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
22,1.67,ENGINEERING,10,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
23,5.00,CULTURE,11,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
24,2.50,CULTURE,12,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
25,2.50,MUSIC,12,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
26,2.50,CULTURE,13,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
27,2.50,MUSIC,13,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
28,5.00,CULTURE,14,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
29,2.50,MUSIC,15,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
30,2.50,CULTURE,15,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
31,2.50,MUSIC,16,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
32,2.50,CULTURE,16,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
33,2.50,SCIENCE,17,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
34,2.50,TECHNOLOGY,17,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
35,2.50,CULTURE,18,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
36,2.50,SCIENCE,18,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
37,5.00,CULTURE,19,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
38,2.50,SCIENCE,20,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
39,2.50,CULTURE,20,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
40,5.00,CULTURE,21,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
41,5.00,CULTURE,22,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
42,2.50,ENGINEERING,23,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
44,5.00,MUSIC,24,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
45,1.67,SCIENCE,25,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
46,1.67,TECHNOLOGY,25,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
47,1.67,ENGINEERING,25,3,"2017-02-11 00:33:18","2017-02-11 00:55:19"
